epochs,total_diffRec,infect_precision,infect_recall,infect_accuracy,time
0,2869.0640258789062,0.45811664226987625,0.30798364866563344,0.9862781954887214,2.4870877000000036
1,1110.5058563232421,0.4721198376478445,0.3127100427556792,0.9864074248120298,2.2789981000000026
2,698.5964447021485,0.4736329946629027,0.31765260700135783,0.9864896616541351,2.5235401000000053
3,621.6900291442871,0.48306521129083063,0.31894944062786734,0.9865836466165414,2.6015535999999955
4,571.2489624023438,0.4739006019273485,0.3205157388729466,0.9864661654135338,2.5454178000000027
5,524.9307266235352,0.453323630835022,0.3020607613130698,0.9861019736842103,2.5898818000000006
6,486.7104202270508,0.47052621561421476,0.3167886264642842,0.9863369360902252,2.2583833999999996
7,461.32753982543943,0.4705482632505615,0.3107114168194397,0.9863369360902254,2.2575304000000003
8,438.60226211547854,0.4720703022551775,0.3081227604883231,0.9863956766917292,2.5839069999999964
9,431.7047172546387,0.4592362364041138,0.30824191098746573,0.9862664473684208,3.185004499999991
10,410.6687812805176,0.48142969571832667,0.31935952867534,0.9865014097744357,2.1349098999999967
11,405.0705230712891,0.46843368543389585,0.3154949601251248,0.9863956766917289,2.507194900000002
12,395.9749645233154,0.4693594748854542,0.3147990197644249,0.9863604323308266,2.1403284000000014
13,387.2750606536865,0.47392717883961666,0.3140284565092069,0.9864309210526315,2.598498399999997
14,385.72388153076173,0.45605981633260295,0.30310910337394376,0.9860784774436089,2.5062444
15,382.4704643249512,0.46773982423310223,0.30716476146451216,0.9862429511278196,2.1417510999999934
16,358.0538818359375,0.5042605408362745,0.33351375712910514,0.9870183270676689,2.5216636000000108
17,367.23777503967284,0.4734812828444122,0.31342054994876384,0.9864309210526315,2.6266703000000007
18,368.82726135253904,0.47727732413542245,0.3127203479707484,0.9864309210526312,2.1309392000000003
19,361.6786334991455,0.4679328049214811,0.30971281029859465,0.986454417293233,2.3706643000000014
20,358.8153663635254,0.47458875648183596,0.32089139755620255,0.9864309210526315,2.2620079000000004
21,357.02250442504885,0.4664343352557614,0.31317684264094736,0.9863251879699246,1.987635400000002
22,354.29552459716797,0.4703569569526883,0.30961489967810985,0.9864191729323306,2.225404399999988
23,357.28089447021483,0.45892561703612983,0.30622824079066435,0.9862194548872179,1.8576761000000062
24,352.9430892944336,0.469398017168814,0.31350325559756975,0.9864191729323307,2.1109110000000015
25,355.87780342102053,0.45871060313948825,0.30685838268100285,0.9862312030075187,1.9743440999999962
26,347.7888343811035,0.46947314881129987,0.31217419502851235,0.9864074248120298,1.9457852999999972
27,345.94947814941406,0.477196655511671,0.319995577347652,0.9865366541353383,1.8919343999999967
28,340.37560615539553,0.4894227634036071,0.3226807924311502,0.9866658834586465,2.183651999999995
29,350.90060806274414,0.4620942299631389,0.3071710377019048,0.9862899436090222,1.9494403000000062
30,346.98167457580564,0.4645017788512371,0.31656279986145974,0.9863486842105263,1.931712399999995
31,339.82204093933103,0.47917526641203284,0.316679143168794,0.9865953947368421,2.0209351000000026
32,344.9417213439941,0.4644551958991222,0.31130747174019446,0.986301691729323,2.961128599999995
33,340.16379165649414,0.4831918279686992,0.3222208239232264,0.9865953947368421,1.8157786999999956
34,341.0579643249512,0.47962615889174814,0.31977514684867525,0.9865249060150374,2.3105130000000003
35,342.1859378814697,0.46114636492511696,0.31177422787872133,0.9862546992481201,1.931459799999999
36,336.94745750427245,0.47730564710468615,0.3169795506849761,0.9865014097744359,1.7864055999999948
37,343.5055618286133,0.4674492573047585,0.31102654028215554,0.9863369360902254,1.9114150000000052
38,339.42919235229493,0.46479261992811943,0.30603324087132316,0.9863251879699246,2.019957500000004
39,335.07277755737306,0.46771513046057905,0.31739262357450443,0.9864426691729322,1.9671762000000115
40,336.6895011901855,0.4820240778985898,0.31752926752519545,0.9865249060150376,1.8851546999999869
41,342.9497787475586,0.45584331866322214,0.30464924836103136,0.9860314849624061,2.1891866999999934
42,335.7560417175293,0.47849995843659193,0.31316735014597696,0.986501409774436,2.0699041000000022
43,337.89780883789064,0.4629099570635347,0.3111384942728611,0.9863486842105262,1.9645979999999952
44,344.64609718322754,0.46924976085165043,0.31009156414836303,0.9863251879699249,2.519117699999981
45,339.86192016601564,0.4615257737247996,0.306505755607558,0.9862664473684208,2.806065600000011
46,333.52987213134764,0.47945892324928047,0.320400064016684,0.986489661654135,1.9207422000000065
47,343.65530548095705,0.4526221504027556,0.29830693685447796,0.9860549812030074,2.2597855999999865
48,333.47027015686035,0.4697940423041211,0.31492003877487534,0.9864896616541351,1.9892844999999966
49,340.40139808654783,0.45752601285883027,0.30315503724518356,0.9862664473684205,1.9458721999999966
50,334.0607120513916,0.47400836546513114,0.31494550916927294,0.9864661654135338,2.591231399999998
51,337.00603141784666,0.46085927969239143,0.3079679564080263,0.9862781954887216,2.1771976999999936
52,338.0916297912598,0.4663373244200325,0.3126333922056431,0.9862781954887216,2.507604100000009
53,332.9620170593262,0.4771016514719232,0.31759185214041713,0.9864544172932327,2.1008429000000035
54,331.58988227844236,0.4792762993607152,0.31302323562152357,0.9863721804511281,2.499343500000009
55,334.15237045288086,0.47597116040265347,0.3195001316449183,0.9865131578947365,2.5378948999999977
56,341.6695095062256,0.4516490143432195,0.3031902942709329,0.986066729323308,2.0397595999999965
57,333.65225677490236,0.4687055733121741,0.31433629450600653,0.9863839285714283,2.3936087000000157
58,336.8031764984131,0.46347588740235796,0.3054811351643397,0.9863486842105262,2.116052300000007
59,342.1456008911133,0.4486005912929206,0.3036437674836977,0.9860902255639095,2.4610788999999897
60,327.7449089050293,0.4964972917995617,0.3325066796993267,0.9867598684210526,2.1961378000000025
61,334.49599800109866,0.47400842673539206,0.31530016040111375,0.986419172932331,2.243544899999989
62,335.1762413024902,0.45946213747309955,0.3118633500484906,0.9862899436090222,2.3722985999999935
63,336.2030834197998,0.45464740243323315,0.2990663720010017,0.9861019736842105,2.786943899999983
64,336.6378490447998,0.452064420297687,0.30516438125176365,0.9861959586466165,2.585078299999992
65,333.74521789550784,0.47609245428509456,0.31435379693508486,0.9863721804511275,2.3489801999999997
66,335.21596641540526,0.4682886523913411,0.3104441042384635,0.9863369360902254,2.823341499999998
67,335.2105289459229,0.4727782512902149,0.31401614159334945,0.986348684210526,2.7243528999999853
68,330.4186195373535,0.46549833596672824,0.31116022133932486,0.9863251879699246,2.6927983999999867
69,334.1992893218994,0.4710023070897683,0.3115668317307893,0.986454417293233,3.58913290000001
70,333.7856246948242,0.47152766927195683,0.31550126828901,0.9863956766917292,2.5836557000000084
71,333.63171005249023,0.4782734228750887,0.31709247704802146,0.9865014097744357,2.5172311999999977
72,330.4944953918457,0.47185862218407804,0.309484153365933,0.9864426691729322,2.4249326000000053
73,330.75489082336424,0.4833771335454545,0.3223697065250316,0.9865718984962404,2.5168376999999964
74,333.8125392913818,0.4780996001818287,0.3177934183649799,0.9865484022556388,2.4942541000000062
75,334.5934261322021,0.46544330222954533,0.3084596596959786,0.9862546992481201,1.9583708000000115
76,330.7881446838379,0.4786683807647263,0.317508234188472,0.9865601503759397,2.543904600000019
77,333.5714588165283,0.46220485196771544,0.3086157736334493,0.9862781954887214,2.9363227999999992
78,328.87179107666014,0.4868388559499408,0.32292453498060625,0.9865718984962406,2.1889441999999804
79,336.30110054016114,0.4633798816941098,0.3095623908141305,0.9863016917293234,2.4912096999999847
80,332.4598918914795,0.4698437243216992,0.3126352989780905,0.9863839285714283,2.147072900000012
81,333.50455474853516,0.47555010689745103,0.3131348446998759,0.9864074248120301,2.454498099999995
82,329.8866886138916,0.4677961133835578,0.30705541683855664,0.9863369360902252,2.4858416000000148
83,331.76273040771486,0.46536166750931507,0.3038680245887422,0.986207706766917,2.175495699999999
84,333.12064895629885,0.4736575751361979,0.3161749276353411,0.9865249060150372,2.295189000000022
85,327.5501365661621,0.4676540337476197,0.31088602547756927,0.9863721804511275,2.575469599999991
86,329.0824565887451,0.473585625558216,0.31527254346686734,0.9864426691729321,3.5878577000000007
87,331.18094940185546,0.4665787239693048,0.30624810270626973,0.9863604323308269,2.1080029999999965
88,328.32940673828125,0.4694908643035072,0.3117874326843325,0.9863721804511275,2.2497086000000195
89,334.20798645019534,0.4668296912561198,0.30900434151852646,0.9862194548872182,2.1216447000000187
90,327.17683906555175,0.4794010655263521,0.32319676848854645,0.9866071428571427,2.4613702000000046
91,324.9902183532715,0.4784642376388481,0.3166812014196325,0.9864779135338344,2.1648940999999695
92,324.4512866973877,0.49155771660811054,0.32332770577463743,0.9867598684210526,2.4089572999999973
93,330.56007804870603,0.47457651085603203,0.3200176178896681,0.9864896616541354,2.4576614000000063
94,330.82422637939453,0.46884607136835726,0.3139841367048128,0.986454417293233,2.087344499999972
95,334.40051155090333,0.4785960178639206,0.32063179780638473,0.9864426691729321,2.5006917000000044
96,335.8923709869385,0.4576574639157,0.31081908426664245,0.9862312030075187,2.090651600000001
97,330.95529861450194,0.47240123007218165,0.3109554577254948,0.9863016917293231,2.431008899999995
98,331.9097164154053,0.4681241600144296,0.3095605777278401,0.9863486842105262,2.3603434000000334
99,335.2891250610352,0.46371452348148406,0.30694025199283687,0.9862312030075188,2.892181800000003
