epochs,loss,forward_loss,seed accuracy,seed precision,seed recall,accuracy,precision,recall,accuracy_rec,precision_rec,recall_rec,time
0,-46.1090350151062,3.3473357558250427,0.5194772344013491,0.10435966787827829,0.5050847457627119,0.554806070826307,0.3786459927582283,0.8191633000639008,0.9815789473684211,0.38235294117647056,0.5878486538927965,45.716713399999996
1,-46.17747783660889,3.3690832555294037,0.5248735244519394,0.10872748056292361,0.5245762711864407,0.5487352445193929,0.37359096062018343,0.806676000789194,0.981860902255639,0.3891402714932127,0.5964683745838761,43.198125899999994
2,-46.301493644714355,3.338528424501419,0.5243676222596965,0.10695642961348517,0.514406779661017,0.5564080944350759,0.3794084592263175,0.8180805420048409,0.9820018796992481,0.3922871246400658,0.6006944444444444,43.4541727
3,-46.442463397979736,3.2962414622306824,0.525548060708263,0.10583411081084683,0.5059322033898305,0.55893760539629,0.38101305996312246,0.8193526251991307,0.9822368421052632,0.3977272727272727,0.6070046439628483,42.74960300000001
4,-46.581220626831055,3.2621605694293976,0.5300168634064081,0.10990799957880693,0.5245762711864407,0.5664418212478921,0.3867619304394716,0.8290797073134176,0.9817669172932331,0.38636363636363635,0.5905572755417956,43.40329410000001
5,-46.705732345581055,3.2491381466388702,0.5303541315345699,0.10970821678027626,0.5228813559322034,0.5678752107925801,0.3878334857799548,0.8303774709396958,0.9822368421052632,0.3977272727272727,0.609160268009977,47.38303300000001
6,-46.84226989746094,3.2319581508636475,0.5328836424957841,0.11113544954688931,0.5279661016949153,0.5704047217537943,0.38963820300806046,0.8330554753077504,0.9824248120300751,0.4022727272727273,0.6162587412587412,43.89425320000004
7,-46.85947895050049,3.342975527048111,0.5290893760539629,0.10507727901724856,0.4966101694915254,0.5489881956155143,0.3721040922113226,0.7918163298128987,0.981954887218045,0.39090909090909093,0.598069498069498,44.11835679999996
8,-47.08083629608154,3.2602599263191223,0.5353288364249578,0.10989164767502299,0.5169491525423728,0.5600337268128162,0.3805192249793159,0.8079872579831192,0.9830827067669172,0.4178082191780822,0.6363768115942029,44.437477
9,-47.26588249206543,3.2254861295223236,0.534991568296796,0.10740373741167406,0.502542372881356,0.5678752107925801,0.386412217297354,0.8168316219948601,0.9816729323308271,0.38294089177871765,0.5797118963600328,46.90766309999998
10,-47.50100612640381,3.1537270545959473,0.5424114671163575,0.11369701605274507,0.5296610169491526,0.5814502529510961,0.3970842489224906,0.8380666731038477,0.9822838345864662,0.397284092848609,0.5989692225409637,44.82425950000004
11,-47.62029409408569,3.2125601172447205,0.5383642495784149,0.10704301164556093,0.4957627118644068,0.5681281618887015,0.3858714184010701,0.8105154672248822,0.9825657894736842,0.4028344521960423,0.5971445109010225,42.39192000000003
12,-47.8828239440918,3.14463347196579,0.5420741989881956,0.1099284646162551,0.5076271186440677,0.5823777403035413,0.3971174622517565,0.8328766348190181,0.9821428571428572,0.392018779342723,0.5797118963600328,43.994619599999965
13,-48.08190584182739,3.1582681834697723,0.5453625632377741,0.11286735049167494,0.5203389830508475,0.5775716694772344,0.39312344656172327,0.8223771083371201,0.9825657894736842,0.4022721233058729,0.5932330827067669,44.8897257000001
14,-48.330276012420654,3.1425437331199646,0.5432546374367622,0.10906097542370757,0.5008474576271187,0.5786677908937605,0.3936890786475596,0.8209496180963571,0.9824718045112781,0.39901828029790115,0.5847063384376817,43.39973009999994
15,-48.6151909828186,3.111664801836014,0.5490725126475549,0.11420980523988797,0.5228813559322034,0.5834738617200674,0.39737576368640154,0.8261290217453295,0.9825187969924812,0.4,0.5835866261398176,42.83969939999997
16,-48.950533866882324,3.053714334964752,0.5505902192242833,0.11373790022338048,0.5177966101694915,0.5942664418212479,0.4057803129991373,0.8406283029650196,0.9822368421052632,0.3918269230769231,0.565292262915353,43.39773130000003
17,-49.16596174240112,3.1401893496513367,0.5461214165261383,0.10726643018554156,0.4864406779661017,0.5749578414839798,0.3895706892317296,0.8045650565362923,0.9834586466165414,0.4227053140096618,0.6069490211281257,41.873012700000004
18,-49.50982332229614,3.1242021918296814,0.5523608768971333,0.11273282947293395,0.5093220338983051,0.5766441821247892,0.3906397827150072,0.8047192563473831,0.9833176691729324,0.4181013868962219,0.5943050193050193,41.18662260000008
19,-49.89091634750366,3.0978360772132874,0.5537942664418213,0.11207476093596988,0.5033898305084745,0.5827993254637437,0.3953985145352114,0.8102172571535892,0.9828477443609023,0.40547425866898484,0.572561919504644,42.40106979999996
20,-50.34437656402588,3.0269403755664825,0.554468802698145,0.11180476730987514,0.5008474576271187,0.596964586846543,0.4069744901127177,0.832776766360349,0.9830827067669172,0.4117647058823529,0.5833333333333333,49.222313299999996
21,-50.69258689880371,3.0898019671440125,0.5537099494097808,0.1088052318958762,0.4847457627118644,0.5836424957841484,0.3954767942861744,0.8039539824067979,0.9827537593984963,0.40198541728249093,0.5641707352443563,46.21667530000002
22,-51.175100803375244,3.046508878469467,0.558768971332209,0.11362966855417314,0.5050847457627119,0.5898819561551434,0.399502660785756,0.8041507198222184,0.9828947368421053,0.40404040404040403,0.5550680122860904,48.07130529999995
23,-51.662437915802,3.026960641145706,0.5612984822934233,0.11590536454090122,0.514406779661017,0.5956998313659359,0.40423822514823504,0.8126088658185374,0.9826597744360903,0.3980254809400538,0.5491486068111455,48.44370210000011
24,-52.15171813964844,3.0330662429332733,0.5615514333895447,0.11464965905381921,0.5067796610169492,0.5957841483979764,0.40406634595931656,0.8092068223215765,0.9824248120300751,0.39086294416243655,0.5340594155686293,48.987113300000146
25,-52.69378662109375,3.0136993527412415,0.5658516020236087,0.11814312372263855,0.5203389830508475,0.5961214165261383,0.4039918520123243,0.8079777147160878,0.9827067669172932,0.3979591836734694,0.5422729250253783,49.55476470000008
26,-53.187806606292725,3.0679184198379517,0.5647554806070827,0.11638047786046246,0.5118644067796609,0.5854974704890388,0.3946336395407385,0.7866930239103902,0.9829417293233083,0.4040685504971219,0.5487904978030997,49.25475920000008
27,-53.82646083831787,3.0022209882736206,0.5676222596964586,0.11788617886178862,0.5161016949152543,0.5971332209106239,0.40433296378418326,0.8030040056751242,0.9826597744360903,0.3943062827225131,0.5242028985507245,44.4072498999999
28,-54.39913749694824,3.0255210399627686,0.5655143338954469,0.11479527760623115,0.5016949152542374,0.592495784148398,0.4000863164248991,0.7930129988312768,0.9825187969924811,0.3894736842105263,0.5164662576687117,40.30907719999982
29,-55.007474422454834,3.0345164239406586,0.5656829679595279,0.11439265376472832,0.4991525423728813,0.5896290050590219,0.39748243320358745,0.7870202561756328,0.9823308270676692,0.38421052631578945,0.5067538126361655,45.06452950000016
30,-55.7550311088562,2.9236561059951782,0.5725969645868465,0.12072586948026573,0.5245762711864407,0.609274873524452,0.4143163423558309,0.8189110301099148,0.9821898496240602,0.38121727748691103,0.507019829208279,43.2956850999999
31,-56.34901285171509,2.9833494126796722,0.568043844856661,0.11380830279218584,0.4923728813559322,0.598566610455312,0.4048012575004344,0.7978477111280577,0.9830827067669172,0.4052631578947368,0.5345559845559846,42.09913920000008
32,-57.123703956604004,2.877752035856247,0.5733558178752107,0.11841727331253404,0.5101694915254237,0.6176222596964587,0.4211815024590355,0.8288008389275201,0.9826597744360903,0.393744833287407,0.5207377721983487,41.94667930000014
33,-57.726266384124756,2.956801950931549,0.5769814502529511,0.121520456784327,0.5220338983050847,0.6015177065767285,0.40685638835094906,0.796375321728271,0.9826597744360903,0.39313561681982734,0.5178571428571428,44.61690120000003
34,-58.446054458618164,2.928813248872757,0.5790050590219225,0.12269919476124827,0.5254237288135593,0.6048903878583474,0.40934181727229796,0.7991754848124524,0.9830827067669172,0.40476190476190477,0.5312077947134863,50.0231953
35,-59.15907144546509,2.9157158732414246,0.580185497470489,0.12379191331557324,0.5296610169491525,0.6042158516020236,0.4086566828927398,0.7961699555104277,0.9829417293233083,0.4010303536619326,0.5282964249529599,47.25726500000019
36,-59.88422155380249,2.896743267774582,0.5747892074198988,0.11684191471611391,0.49915254237288137,0.6100337268128162,0.41374275907894004,0.8030239197174942,0.9826597744360903,0.393648387985671,0.5221445221445221,48.098768300000074
37,-60.599327087402344,2.891135960817337,0.5807757166947723,0.12200290014100071,0.5186440677966102,0.609106239460371,0.4126794389677346,0.8010383251871507,0.9831296992481203,0.40687517222375313,0.537999130896625,46.85240429999999
38,-61.345767974853516,2.855514883995056,0.5827150084317032,0.12196570041886155,0.5152542372881356,0.615177065767285,0.4176288048455361,0.8055545086468676,0.9835526315789473,0.418848167539267,0.5567939523163403,49.162024599999995
39,-62.05505132675171,2.8562088310718536,0.5854131534569983,0.12366387539661446,0.5203389830508475,0.6163575042158516,0.4185201758830277,0.8054279371275344,0.9825187969924812,0.38888888888888884,0.5115384615384615,47.30947930000002
40,-62.77101278305054,2.8481802344322205,0.5884485666104553,0.12502299400316397,0.5228813559322034,0.616779089376054,0.4186430039061618,0.8061263455771812,0.9828947368421053,0.39893617021276595,0.5226190476190475,45.5477472
41,-63.45574140548706,2.866864949464798,0.5882799325463743,0.12345037647599935,0.514406779661017,0.6133220910623947,0.4154124021673691,0.7968488434617083,0.9831766917293233,0.40691489361702127,0.5321283194417523,45.95375080000008
42,-64.20361757278442,2.8166794776916504,0.5865092748735244,0.11999935360255787,0.49830508474576274,0.622849915682968,0.42370302524914216,0.8107602551928882,0.9828947368421053,0.39893617021276595,0.5223749205262386,46.06110510000008
43,-64.91410970687866,2.796521484851837,0.5962057335581787,0.13045226240244795,0.5398305084745763,0.6223440134907251,0.42310002888437137,0.8075214204976837,0.9828477443609023,0.3967569432465068,0.5138996138996139,43.75910399999998
44,-65.62155961990356,2.7707496285438538,0.5928330522765599,0.12620566928160848,0.5220338983050847,0.6250421585160202,0.4253508699368572,0.8103971531922396,0.9828007518796993,0.39454768583450206,0.507468458452168,40.287371799999846
45,-66.28374338150024,2.7806223928928375,0.5909780775716695,0.1230172616554897,0.5076271186440678,0.6270657672849915,0.4272200459585756,0.8147759586795443,0.9824248120300751,0.3837837837837838,0.49286991830618265,45.800588499999776
46,-66.97190761566162,2.7539336681365967,0.592327150084317,0.12296283280824988,0.5050847457627119,0.6302698145025295,0.42976584727253875,0.8157612975387758,0.9833646616541354,0.4107643758765779,0.527706775982638,43.892444799999794
47,-67.63750553131104,2.738206833600998,0.5905564924114671,0.12040438542015,0.49406779661016953,0.6324620573355818,0.4317204674849878,0.8185308292335307,0.9831296992481203,0.402720230589083,0.5104166666666667,41.843457599999965
48,-68.24878931045532,2.764594554901123,0.5983136593591906,0.12897934556186172,0.5279661016949153,0.6284148397976391,0.428073418664438,0.8123097229566248,0.9824248120300751,0.3825136612021858,0.4860380998312033,43.05644610000036
49,-68.89940738677979,2.738989293575287,0.5978920741989882,0.12730480240853687,0.5194915254237288,0.6313659359190557,0.4306190911863373,0.8164206679211552,0.9828477443609023,0.3945535338977962,0.5002898550724638,46.544403599999896
50,-69.55026149749756,2.699761390686035,0.6025295109612141,0.13141498689085646,0.5338983050847458,0.6398819561551433,0.43805681404653674,0.8266412555185698,0.9825187969924811,0.3859695761335106,0.49283543204515845,45.6011497999998
51,-70.14420747756958,2.7037563920021057,0.6074198988195616,0.13518111619540635,0.5457627118644067,0.6381112984822934,0.4362948850954369,0.8211136697230854,0.9825187969924811,0.38648648648648654,0.4960407512915842,45.223044800000025
52,-70.72573184967041,2.7061639726161957,0.6080944350758853,0.13509685455626308,0.5440677966101695,0.633558178752108,0.4318742293464858,0.809200301294041,0.9826127819548872,0.3897849462365591,0.5031645569620253,45.0222189000001
53,-71.29892826080322,2.7034741640090942,0.6081787521079258,0.13389844237004672,0.5372881355932204,0.6372681281618887,0.4348623440135492,0.8099333447251154,0.9825187969924812,0.38524590163934425,0.49029501231229783,45.030954100000145
54,-71.90094947814941,2.6571914553642273,0.6102866779089375,0.13460743712243167,0.5372881355932203,0.6464586846543001,0.443069451797922,0.8234593008886427,0.9825187969924811,0.3839779005524862,0.48229789697086634,45.10715549999986
55,-72.4487829208374,2.6512716710567474,0.6084317032040472,0.1302285904207558,0.5169491525423728,0.6447723440134907,0.44127191736753374,0.815466762438507,0.9828947368421053,0.39444444444444443,0.49212775528565,45.1245042999999
56,-72.97874689102173,2.6488520205020905,0.6107082630691401,0.13161798169157712,0.5203389830508475,0.6450252951096122,0.44125056091076925,0.8114716532541361,0.9833176691729324,0.4062519615843324,0.5029024767801857,44.543629999999666
57,-73.47365856170654,2.667500376701355,0.6096964586846543,0.12969788148535055,0.5118644067796609,0.6404721753794267,0.4369841729330103,0.8030868834591853,0.9826127819548872,0.384180790960452,0.4725062704997106,44.67388630000005
58,-74.01151657104492,2.6291249692440033,0.6123946037099494,0.13250644792578148,0.5220338983050847,0.646795952782462,0.44283668769697365,0.8136456680927431,0.9829417293233083,0.39553072625698327,0.49303110682421025,44.42518079999991
59,-74.51767444610596,2.6090244948863983,0.6129005059021922,0.13219801541827275,0.5194915254237288,0.6513490725126476,0.4469178382000599,0.8194671707624449,0.9830827067669172,0.3994413407821229,0.4990275684348714,44.242001600000094
60,-74.96914625167847,2.6294875144958496,0.616779089376054,0.13605701781310686,0.5330508474576271,0.6473861720067453,0.4431280392036873,0.8103159273400162,0.9828947368421053,0.3933339645866869,0.4861003861003861,43.32549030000018
61,-75.4334831237793,2.623640298843384,0.6187183811129848,0.13720904143346146,0.535593220338983,0.6455311973018549,0.4412507245017472,0.8052227588685196,0.9824718045112781,0.37886363636363635,0.4618808049535604,45.10209990000021
62,-75.89929819107056,2.6028557121753693,0.61964586846543,0.13643774809973663,0.5296610169491526,0.6526981450252951,0.44791005710260606,0.8149737529419143,0.9828007518796993,0.38857142857142857,0.47173451668917615,43.34580950000009
63,-76.32818937301636,2.606089264154434,0.6234401349072514,0.13969302767937114,0.5398305084745763,0.6472175379426643,0.4425768116191279,0.8044895888905055,0.9825187969924812,0.3793103448275862,0.45853234910985674,43.96960119999994
64,-76.8230676651001,2.5305529683828354,0.621247892074199,0.13620386643233742,0.5254237288135593,0.6625632377740304,0.4569377990430622,0.8273269114990969,0.9839755639097745,0.42301875378100423,0.5067917049354668,43.05314360000011
65,-77.22840309143066,2.5314538180828094,0.6215008431703204,0.13565590878900552,0.5220338983050847,0.6608768971332208,0.4553073473731074,0.8243697040959836,0.9830827067669173,0.3953488372093023,0.4729420917002966,43.876642100000026
66,-77.56689310073853,2.587258219718933,0.6212478920741991,0.1334700812158967,0.5110169491525424,0.6513490725126475,0.4461587897072541,0.8057620085001738,0.9828007518796993,0.3846153846153846,0.45130548937618514,43.54751039999974
67,-77.97668695449829,2.5593818724155426,0.6240303541315346,0.1349326193663543,0.5135593220338983,0.6538785834738617,0.44831515522609994,0.8066318326895356,0.9830827067669173,0.39285714285714285,0.45913043478260873,42.788638999999876
68,-78.3774185180664,2.528476268053055,0.6277403035413154,0.13854689371976625,0.5254237288135593,0.6597807757166947,0.45378804896231856,0.8124319669135135,0.9832706766917294,0.3991946778711485,0.47157749803304483,42.66064030000007
69,-78.68474960327148,2.5793229043483734,0.6284991568296796,0.13882669055082847,0.5254237288135594,0.647133220910624,0.4415629238494374,0.7888488104271629,0.9837875939849624,0.41639146886824907,0.493546671822884,42.74949649999962
70,-79.12623405456543,2.484496906399727,0.6330522765598652,0.1450352021450897,0.5491525423728814,0.6670320404721755,0.46068697964270533,0.8232854719953295,0.9834586466165414,0.4057579847053531,0.47887323943661975,42.83328540000002
71,-79.47010040283203,2.475765198469162,0.6349072512647556,0.14590597785157217,0.55,0.6677065767284991,0.4612593666802025,0.8237284717271397,0.9831766917293233,0.3969168483338524,0.46940559440559443,42.930885200000375
72,-79.78842258453369,2.481599748134613,0.6292580101180438,0.13749112101908756,0.5169491525423728,0.6650927487352445,0.45866042200365786,0.8171266993620561,0.9836936090225563,0.41196179070430566,0.47935558556820373,42.72164049999992
73,-80.14489650726318,2.438628077507019,0.6367622259696458,0.14598932059367925,0.5466101694915254,0.6731871838111299,0.4662961816983463,0.8275583491047169,0.9838815789473685,0.4169404892296459,0.479503645405823,43.034023199999865
74,-80.45562267303467,2.4304892122745514,0.636424957841484,0.14409197191982892,0.5372881355932203,0.6732715008431703,0.466215683850391,0.8257551396660021,0.9834116541353384,0.4017889740781307,0.4618055555555556,42.712211000000025
75,-80.70600509643555,2.4721089750528336,0.6338111298482294,0.13983424802301309,0.5203389830508475,0.6686340640809444,0.4617396991497711,0.8157191295879669,0.9834586466165414,0.4024390243902439,0.45792091159287335,42.88051289999976
76,-81.03639125823975,2.4235475808382034,0.6411467116357503,0.14868735850568648,0.5516949152542373,0.6752107925801012,0.4680728413992373,0.8276203328834908,0.9833176691729323,0.3961544360095085,0.4463021243115657,43.37020070000017
77,-81.30609512329102,2.4258629977703094,0.6393760539629005,0.14508424351462995,0.5364406779661017,0.6747048903878583,0.46746944442284577,0.821720777346171,0.9837875939849624,0.4117782378651944,0.46224228670754675,43.99893810000003
78,-81.5436315536499,2.450394257903099,0.6381112984822934,0.14328156139893541,0.5296610169491526,0.6676222596964587,0.46054140353497275,0.809854308426009,0.9833646616541354,0.39671471541857106,0.4404181352904254,44.1432235999996
79,-81.8404483795166,2.4059443920850754,0.6417369308600338,0.1460228274112842,0.5364406779661017,0.6777403035413154,0.4703371995237776,0.8240598341944011,0.9832236842105263,0.390389421914053,0.42679738562091507,43.53258030000006
80,-82.05605030059814,2.433009445667267,0.6457841483979765,0.15059089288244512,0.5516949152542373,0.6706576728499156,0.4632414124524377,0.8080821324620548,0.9841165413533834,0.41840396445659606,0.44562899786780386,43.17280789999995
81,-82.3687744140625,2.3540274053812027,0.6449409780775717,0.14796667829276,0.5398305084745763,0.6845699831365937,0.47696020441962805,0.8298904997559755,0.9838345864661654,0.40789473684210525,0.430308293530178,43.712056400000165
82,-82.57388114929199,2.3734841495752335,0.646795952782462,0.14921741815398532,0.5423728813559322,0.6783305227655987,0.47067015697300724,0.8168578648250604,0.9841635338345864,0.4207792207792208,0.4512095021969002,43.68899859999965
83,-82.79171943664551,2.3710813373327255,0.6427487352445194,0.14177802549407906,0.5127118644067796,0.6827150084317033,0.47495615054626916,0.8217579843040954,0.9837406015037593,0.40645161290322585,0.4367125411901531,43.01064570000017
84,-82.9718017578125,2.3979201912879944,0.6499156829679595,0.14870039810284144,0.5330508474576272,0.6764755480607083,0.4684911452423407,0.8063059014039015,0.9836466165413533,0.40384615384615385,0.43785952530574757,44.07779560000017
85,-83.22758674621582,2.3405465483665466,0.6529510961214164,0.1519679038103546,0.5432203389830508,0.6860033726812816,0.4779298820583232,0.820140087761963,0.9843515037593985,0.4268313385960445,0.4572310405643739,43.29297850000012
86,-83.40208053588867,2.3563233017921448,0.6554806070826307,0.15404761904761904,0.5483050847457627,0.6840640809443508,0.4758653504984854,0.8122720818407719,0.9833176691729324,0.39081996434937616,0.41641337386018235,43.74462110000013
87,-83.60884189605713,2.331707999110222,0.6513490725126475,0.14762806048088573,0.5245762711864407,0.6869308600337268,0.47879134056811123,0.8182982777608454,0.9840695488721805,0.41751152073732717,0.44809521510308536,43.146158000000014
88,-83.80938529968262,2.305275574326515,0.6578414839797639,0.15524529374476098,0.5491525423728814,0.6902192242833052,0.48205822613405547,0.8219701420587215,0.9842105263157894,0.42105263157894735,0.4445301948678372,43.57040499999994
89,-83.93528938293457,2.345825284719467,0.6586003372681282,0.1547537236973257,0.5449152542372881,0.6851602023608769,0.47690582128097925,0.8098741856711928,0.9840695488721805,0.4163441692466461,0.440801852655956,43.89596459999984
90,-84.11000728607178,2.3302778601646423,0.6580101180438449,0.15232140372701308,0.5338983050847458,0.684991568296796,0.4766383736804376,0.8097340027615776,0.9843984962406015,0.42857142857142855,0.45975733552472564,44.04821519999996
91,-84.31193351745605,2.2802118957042694,0.6607925801011805,0.1557283161589429,0.5449152542372881,0.695531197301855,0.487285786363737,0.8247926403302663,0.9841165413533834,0.41776315789473684,0.4407764649143959,43.436062299999776
92,-84.447922706604,2.2888290137052536,0.6590219224283305,0.15209332854822258,0.5305084745762711,0.6943507588532885,0.48606443962412754,0.8212839461667869,0.9841635338345864,0.41869757174392935,0.4382284382284382,42.58939659999942
93,-84.62374210357666,2.2510556131601334,0.6630691399662731,0.1567541411739703,0.5449152542372881,0.7,0.4918177330386703,0.8294719639938919,0.9839285714285715,0.4105960264900662,0.42903680653474013,43.91777259999981
94,-84.68605518341064,2.31968492269516,0.6639966273187183,0.15566136685859783,0.5372881355932204,0.6851602023608769,0.4765531947785584,0.8015173640977157,0.9838815789473684,0.4092671662600209,0.4310144927536232,43.31188320000001
95,-84.82903957366943,2.3015768826007843,0.668212478920742,0.1604623734936128,0.5516949152542372,0.6883642495784148,0.47981026153381456,0.8031344371550557,0.9837406015037593,0.4033333333333333,0.423721340388007,42.83790250000038
96,-84.97761249542236,2.271387130022049,0.6662731871838111,0.15618147868672388,0.5347457627118644,0.6921585160202361,0.48366531007404484,0.808228202971685,0.9846334586466166,0.43532008830022073,0.4548846675712347,43.10460469999998
97,-85.12882709503174,2.232406437397003,0.6691399662731872,0.158711575170491,0.5406779661016949,0.7025295109612142,0.49420401003381326,0.8216514041514041,0.9833176691729324,0.38948675496688745,0.41073851521612714,43.33905440000035
98,-85.17552375793457,2.292262464761734,0.6682967959527825,0.15677857432545267,0.5330508474576271,0.6893760539629006,0.4807101607973557,0.7984654637566769,0.9835526315789473,0.39806518633943644,0.42018326501085124,42.43112360000032
