epochs,reconstruction,kld,total,seed accuracy,seed precision,seed recall,accuracy,precision,recall,accuracy_rec,precision_rec,recall_rec,time
0,0.08724090978503227,0.8400068283081055,55.62341356277466,0.9991989881956153,1.0,0.9919491525423728,0.9185497470489038,0.8308848864672725,0.8791986591737384,0.9863369360902251,0.4652405513602174,0.3258406722443664,2.6605420999999865
1,0.0873687056824565,0.8400068283081055,52.689893341064455,0.9991146711635748,1.0,0.9911016949152541,0.9188026981450254,0.8300889306751067,0.8837316800483981,0.9861607142857143,0.4602792581496815,0.32165590768949665,2.645684899999992
2,0.08756265360862017,0.8400068283081055,53.744896507263185,0.9989881956155141,1.0,0.9898305084745761,0.9213532883642497,0.8380617514384394,0.8818279492274866,0.9862194548872181,0.4619777895495944,0.3221009809111416,3.5095713000000046
3,0.08704090062528849,0.8400068283081055,53.72322406768799,0.9990303541315342,1.0,0.9902542372881357,0.9179384485666103,0.8296731474152127,0.8784533807069517,0.9863956766917292,0.4742201441160698,0.3286976001116584,3.4115215999999577
4,0.08744779992848635,0.8400068283081055,53.894634342193605,0.9989460370994939,1.0,0.989406779661017,0.9157251264755484,0.8220741526290549,0.8851862965787657,0.986207706766917,0.46225558135678096,0.3272898243161752,2.689440700000034
5,0.08702348340302705,0.8400068283081055,53.68554973602295,0.9989038785834736,1.0,0.9889830508474576,0.9164207419898819,0.8239545478995058,0.885129458119937,0.9863369360902254,0.4665609291706258,0.3247088501804392,2.694865899999968
6,0.08696156591176987,0.8400068283081055,55.59599380493164,0.9993043844856662,1.0,0.9930084745762713,0.919983136593592,0.8366943598652584,0.8812529894800534,0.9863251879699246,0.4606337106082024,0.31915221594195026,3.3717570000000023
7,0.08758416995406151,0.8400068283081055,54.810674858093265,0.9990725126475546,1.0,0.990677966101695,0.918022765598651,0.8285469748364693,0.881889423118699,0.9864661654135336,0.4738079738645763,0.33411841428911826,2.705592999999965
8,0.08756252564489841,0.8400068283081055,53.2337212562561,0.9989671163575041,1.0,0.9896186440677965,0.9168212478920743,0.8287290073403153,0.8785707013455681,0.9861019736842103,0.45426689376323415,0.3168101185247103,2.7476838000000043
9,0.08766691498458386,0.8400068283081055,53.232435607910155,0.9986930860033725,1.0,0.9868644067796607,0.9157672849915682,0.8299014168481673,0.8720424058809948,0.9865953947368421,0.4886939494749429,0.3321109810307722,2.8953787000000375
10,0.08734399862587452,0.8400068283081055,54.41066493988037,0.9990303541315342,1.0,0.9902542372881358,0.9190556492411467,0.8335867603709483,0.8806797871004726,0.9862781954887216,0.4710114913077207,0.31672827470765413,2.9529302000000257
11,0.08744613137096166,0.8400068283081055,54.14825086593628,0.998946037099494,1.0,0.989406779661017,0.918591905564924,0.8320832639623882,0.8799069598684769,0.9863251879699246,0.46985321361097043,0.3244499733574119,2.818246400000021
12,0.08744227532297373,0.8400068283081055,53.57679405212402,0.9990514333895447,1.0,0.990466101694915,0.9149451939291735,0.8228274682655062,0.8812488734349951,0.9863251879699245,0.46794560294273396,0.3258094653744191,2.9426129999999944
13,0.08745126072317362,0.8400068283081055,57.392129802703856,0.9991779089376053,1.0,0.9917372881355933,0.9169266441821247,0.829121026878758,0.8797530964622149,0.9862664473684208,0.4589779901611154,0.3230541291520347,2.60387350000002
14,0.08701820913702249,0.8400068283081055,55.072209453582765,0.9992622259696458,1.0,0.9925847457627119,0.9193086003372681,0.8347610069099064,0.8835016209772217,0.9867246240601503,0.4884226639759686,0.33154207100036154,2.398817899999983
15,0.08721985183656215,0.8400068283081055,54.080969142913816,0.9991779089376053,1.0,0.9917372881355935,0.9188026981450254,0.831379658970271,0.8796335722267095,0.9865366541353383,0.47745915471118205,0.3273722204569341,2.8891093000000296
16,0.08765081819146872,0.8400068283081055,55.66256275177002,0.9988617200674537,1.0,0.9885593220338981,0.918760539629005,0.8328063904335385,0.8815294234070189,0.9860432330827067,0.4504889246429326,0.3169342070617179,2.9178271999999765
17,0.0869912588968873,0.8400068283081055,55.5791093826294,0.9992411467116353,1.0,0.9923728813559324,0.9158937605396291,0.8260305102652665,0.8817353104960016,0.9861842105263158,0.4580459584175765,0.32368961195826895,2.930713400000002
18,0.08691776730120182,0.8400068283081055,53.711176776885985,0.9990935919055646,1.0,0.9908898305084748,0.9174114671163578,0.8289445198584551,0.88081133225836,0.9866188909774435,0.47708099522117486,0.3354940760213255,2.9008223999999814
19,0.08741755336523056,0.8400068283081055,55.23912229537964,0.9989881956155141,1.0,0.9898305084745763,0.9181913996627319,0.8302503238458956,0.8824881287889973,0.9861724624060152,0.4631275271002858,0.3318118347517339,2.8878495999999814
20,0.08725009392946959,0.8400068283081055,54.35242910385132,0.9990303541315342,1.0,0.9902542372881358,0.9174957841483982,0.8318359053971388,0.875852938026765,0.9864191729323306,0.4728115995226811,0.32726359132134564,2.9046136000000047
21,0.08731605634093284,0.8400068283081055,53.749555587768555,0.9989671163575041,1.0,0.9896186440677965,0.9188237774030353,0.8355468547879268,0.8750019061422035,0.9864309210526313,0.472462657092394,0.32157070275722627,2.896539999999959
22,0.0868919350206852,0.8400068283081055,54.60982980728149,0.9991357504215849,1.0,0.9913135593220341,0.9159569983136595,0.8261445003990641,0.8775781975578927,0.9866188909774433,0.4835365608221814,0.3403178072030857,2.875443999999959
23,0.0872374001890421,0.8400068283081055,52.979765033721925,0.9988406408094432,1.0,0.9883474576271188,0.9163785834738618,0.8270501299041344,0.8784307827233493,0.9860432330827065,0.4520893235950639,0.31596656618202074,2.851422600000035
24,0.08722168132662773,0.8400068283081055,57.17217578887939,0.9992622259696458,1.0,0.9925847457627119,0.9189291736930858,0.8338825545457713,0.8765686970223078,0.9864779135338344,0.4700142880297764,0.3290578468071515,2.7853607000000125
25,0.08720894157886505,0.8400068283081055,53.94664430618286,0.9988617200674534,1.0,0.9885593220338981,0.9186129848229341,0.8312507967277419,0.8803896102052124,0.986501409774436,0.4660041119273182,0.32400730366934627,2.76116380000002
26,0.08739237878471613,0.8400068283081055,56.180513572692874,0.9992622259696455,1.0,0.9925847457627119,0.9167580101180437,0.8290077984721567,0.8765994708545387,0.9863251879699246,0.47146773288356936,0.3270680216186425,2.8577602000000297
27,0.08737613372504711,0.8400068283081055,54.81431512832641,0.9993465430016861,1.0,0.9934322033898306,0.9161045531197303,0.8250705756546326,0.8840231191902769,0.9865601503759395,0.48627711499809145,0.3384724918208601,2.795647000000031
28,0.08716212715953589,0.8400068283081055,54.45348949432373,0.9991989881956155,1.0,0.9919491525423728,0.9173482293423273,0.8297009852971537,0.879302751019924,0.9862429511278193,0.4648345341365011,0.32185249195659826,2.782466499999998
29,0.08765396568924189,0.8400068283081055,53.85290517807007,0.9990935919055645,1.0,0.9908898305084748,0.914776559865093,0.8258057674369741,0.8789412691732037,0.9864896616541353,0.47399421308825324,0.3298981525071992,2.7711839000000396
